Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn,cleanQueryText
"",ANIMAL HUSBANDRY,Animal,POULTRY  FARM ,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",ASKING ABOUT THE TRAINING PROGRAMME,ADVISING HIM TO CONSULT WITH THE CONCERN VETERINARY AVAILABLE NEARBY HIS LOCALITY,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-01-11 19:10:07.000,training programme
"",HORTICULTURE,Vegetables,Potato,	Plant Protection	,asking about plant protection in potato and time of sowing,answer in details,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-01-18 20:27:20.000,plant protection potato time sowing
KHARIF,AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,insect in sarso,"monocrotophos 36ec @ 2ml/lit, of water",MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-01-06 16:22:44.000,insect sarso
"",HORTICULTURE,Condiments and Spices,Ginger,"",ASKING ABOUT SCHEMES AND SUBSIDIES FOR GINGER AND TURMERIC.,advice given in details,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-01-15 19:08:33.000,schemes subsidies ginger turmeric
"",AGRICULTURE,Others,Others,"",asking about trainings in agriculture department.,adviced in details,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-01-22 13:06:44.000,trainings agriculture department
"",HORTICULTURE,Condiments and Spices,Ginger,Cultural Practices,ASKING ABOUT CULTIVATION OF GINGER,ANSWER GIVEN IN DETAILS..,MEGHALAYA,EAST JAINTA HILLS,THADLASKEIN,2014-01-22 16:11:57.000,cultivation ginger
"",AGRICULTURE,Others,Others,"",asking about what kinds of crops and vegetables to be grown in rice field after harvesting in winter season,answered to him in detailed,MEGHALAYA,EAST JAINTA HILLS,THADLASKEIN,2014-01-23 21:27:37.000,kinds crops vegetables grown rice field harvesting winter season
"",FISHERIES,Inland,Others,"",asking for fishery scheme,advising him to consult from his concern block,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-01-30 15:30:50.000,fishery scheme
"",FISHERIES,Inland,Others,"",ASKING ABOUT FISHERIES SCHEMES,ADVICED TO VISIT FISHERIES DEPARTMENT,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-01-31 18:58:50.000,fisheries schemes
"",AGRICULTURE,Cereals,Paddy (Dhan),"",asking about Rice growing techniques,answered in detailed,MEGHALAYA,WEST GARO HILLS,ZIKZAK,2014-01-23 20:24:12.000,rice growing techniques
RABI,AGRICULTURE,Others,Others,Credit,Query on how to obtained Kisan Credit Card.,I suggest him to approached the nearby nationalised banks.,MEGHALAYA,RI BHOI,UMLING,2014-10-09 20:02:16.190,query obtained kisan credit card
RABI,HORTICULTURE,Condiments and Spices,Ginger,	Plant Protection	,Query about Management of diseases of Ginger,Recommended to Spray Mancozeb or Carbendazim @ 3g/lt of water,MEGHALAYA,RI BHOI,UMLING,2014-10-11 19:48:19.217,query management diseases ginger
NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,query about diseases of rice,call transfer to expert,MEGHALAYA,RI BHOI,UMSNING,2014-10-13 20:06:26.317,query diseases rice
NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Management of paddy stem borer,I suggested him to spray Trifos 40 EC @ 2 ml per litre of water,MEGHALAYA,RI BHOI,UMSNING,2014-10-13 20:08:37.520,management paddy stem borer
NA,HORTICULTURE,Drug and Narcotics,Other,Beekeeping,Query on bee rearing on equipments,I gave him the detail of the shop and the phone number from where he will get the equipments,MEGHALAYA,RI BHOI,UMSNING,2014-10-14 20:25:56.667,query bee rearing equipments
RABI,HORTICULTURE,Condiments and Spices,Ginger,	Plant Protection	,Management of soft rot in Ginger,I suggest him spray Bavistin @ 2 gram per litre of water.,MEGHALAYA,RI BHOI,UMSNING,2014-10-19 19:32:05.460,management soft rot ginger
NA,HORTICULTURE,Vegetables,Potato,Cultural Practices,CULTURAL PRACTICES,EXPLAINED IN DETAILS....,MEGHALAYA,RI BHOI,UMLING,2014-10-29 10:58:27.370,cultural practices
RABI,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,ASKING ABOUT PEST CONTROL IN BRINJAL.,SUGGESTED TO SPRAY MALATHION 50 EC @ 2 ML/LITER OF WATER.,MEGHALAYA,EAST KHASI HILLS,MAWSYNRAM,2014-10-03 08:56:50.230,pest control brinjal
